122	875.117	+
3190	32.5609	+
4003	37.4458	+
4902	70.0067	+
4908	39.0716	+
4918	26.8631	+
5481	26562.3	+
7974	6536.17	+
8019	34355.4	+
23739	58.6111	+
31693	583.672	+
32810	576.356	+
42677	118.035	+
49062	5827.1	+
52242	166.064	+
63970	41.5104	+
71945	82.2152	+
76114	584.492	+
78613	26.8631	+
85857	93.6108	+
88951	1324.49	+
90638	135.129	+
95019	56.165	+
95087	54.5392	+
96369	31.748	+
96921	35.8126	+
97773	34.1867	+
97818	212.467	+
107368	130.244	+
116055	30.9277	+
120655	337.019	+
120723	637.414	+
127853	295.502	+
127859	97.6827	+
131921	32.5609	+
136696	59.424	+
139225	49.6543	+
139237	122.92	+
140974	158.74	+
143544	35.8126	+
148715	69.9994	+
150379	240.963	+
161242	297.948	+
162281	1124.22	+
163343	926.39	+
165000	82.2152	+
170741	1702.22	+
170748	4040.22	+
170951	27.676	+
177823	36.6329	+
177930	200.258	+
179292	293.063	+
179624	32.5609	+
179633	37.4458	+
180165	2370.53	+
190942	29.3019	+
194642	30.1148	+
198536	282.48	+
200529	279.214	+
203820	202.696	+
212363	91.9849	+
216190	350.04	+
220865	389.12	+
220894	1665.58	+
225058	27.676	+
227610	99.316	+
227647	94.4311	+
227654	84.6539	+
227667	35.8126	+
230205	61.0499	+
231159	37.4458	+
232550	78.1433	+
233239	94.4311	+
234638	28.489	+
236033	25.2299	+
240852	25.2299	+
240879	70.8196	+
246989	205.143	+
248014	291.437	+
248025	38.2587	+
249993	108.265	+
252437	2754.79	+
255224	26.0502	+
260870	110.712	+
262492	183.164	+
265957	74.8916	+
271654	28.489	+
273656	177.467	+
278019	576.356	+
281946	188.854	+
283961	228.746	+
284049	228.747	+
285227	5797	+
286771	146.531	+
286799	47.2155	+
287636	1690	+
290161	44.7694	+
294645	218.984	+
300103	111.524	+
304431	31.748	+
305769	28.489	+
312678	132.69	+
314588	61.8628	+
314954	38.2587	+
315569	94.4311	+
323544	223.869	+
324073	78.9635	+
326756	34.9997	+
327381	94.4237	+
333080	884.074	+
335761	48.0285	+
340212	26.8631	+
340560	58.6111	+
348385	6294.39	+
350719	62.6831	+
350728	88.7333	+
352401	143.272	+
353547	38.2587	+
360335	73.2657	+
369178	61.0499	+
370413	246.653	+
370420	578.802	+
372614	30.1148	+
373496	65.9347	+
375821	2461.75	+
375829	360.616	+
382693	227.121	+
390576	4232.33	+
400574	37.4458	+
407825	140.826	+
416696	554.378	+
416883	3327.09	+
419702	1081.9	+
422462	30.9277	+
424385	52.1004	+
425076	65.9347	+
426336	518.543	+
431066	36.6329	+
434061	46.3952	+
434097	111.524	+
435712	31.748	+
435735	48.8414	+
435762	366.329	+
435771	137.575	+
437123	36.6329	+
437143	275.963	+
440097	29.3019	+
443054	114.784	+
445497	6248.81	+
452922	39.0716	+
452935	35.8126	+
454279	34.1867	+
455281	113.15	+
455289	911.743	+
455306	2133.67	+
456243	52.1004	+
458347	70.0067	+
461880	337.832	+
465785	212.466	+
471473	1007.81	+
473486	9483.9	+
473559	28958.2	+
475557	60.2369	+
476198	177.467	+
476640	823.83	+
476659	2546.4	+
477805	1377.4	+
477863	879.196	+
477921	3750.41	+
479167	1641.14	+
479502	120.481	+
479517	421.673	+
479783	414.358	+
479794	151.409	+
482147	271.077	+
482594	115.589	+
482829	25.2299	+
482924	3655.17	+
483744	158.733	+
484605	414.357	+
484973	293.868	+
484988	35.8126	+
485567	95.244	+
485697	303.631	+
485990	35.8126	+
486009	807.556	+
486763	119.661	+
487564	932.11	+
487682	51.2801	+
488188	84.6539	+
488353	1307.4	+
488359	658.579	+
488370	117.215	+
492662	38.2587	+
492673	34.9997	+
492690	74.8916	+
496930	40.6974	+
504834	40.6974	+
507795	90.3591	+
509658	153.855	+
512060	27.676	+
512208	91.172	+
512226	28.489	+
513852	1299.24	+
514095	674.852	+
518474	249.912	+
519268	120.481	+
520210	686.248	+
527256	122.107	+
528991	2273.69	+
534488	54.5392	+
536563	33.3738	+
539742	79.7765	+
540099	621.126	+
542289	3226.97	+
543126	3474.44	+
543147	1103.06	+
544942	56.9779	+
547379	225.495	+
547606	278.408	+
547616	262.121	+
556426	43.9565	+
562481	210.027	+
562514	471.342	+
564671	56.9779	+
565657	135.941	+
570218	232.006	+
571086	445.292	+
575815	51.2801	+
578404	33.3738	+
582014	183.977	+
584303	43.9565	+
599974	223.049	+
611121	1292.74	+
618545	33.3738	+
620807	41.5104	+
622892	25.2299	+
626656	34.9997	+
626720	38.2587	+
627907	135.129	+
633313	27.676	+
633324	52.1004	+
634085	218.977	+
634099	172.575	+
634996	62864.2	+
636857	50.4672	+
643477	48.0285	+
651300	26.0502	+
651354	33.3738	+
666600	181.531	+
666828	517.745	+
670486	42.3307	+
672099	61.8628	+
674267	33.3738	+
674275	73.2657	+
681907	42.3307	+
683459	100.129	+
683469	26.8631	+
683508	67.5606	+
692091	126.172	+
692101	57.7982	+
708218	251.545	+
710675	164.438	+
717435	46.3952	+
717456	34.1867	+
720434	188.042	+
721847	56.165	+
721924	47.2155	+
728973	91.172	+
738053	65.1218	+
741214	49.6543	+
749100	1772.19	+
749125	3097.53	+
749172	126.179	+
749181	122.107	+
757978	56.9779	+
758014	67.5606	+
758022	48.0285	+
768792	81.3949	+
770840	62.6831	+
770851	30.1148	+
772021	26.0502	+
772601	39.0716	+
772622	136.755	+
772628	198.632	+
772646	31.748	+
772655	153.855	+
774368	81.3949	+
774374	111.524	+
779974	928.03	+
783127	47.2155	+
783796	141.647	+
790479	29.3019	+
791468	258.049	+
798209	27.676	+
798229	140.834	+
801752	284.106	+
801773	42.3307	+
801780	25.2299	+
805035	136.762	+
815371	537.27	+
815433	107.452	+
817568	101.755	+
823105	136.762	+
823137	25.2299	+
824683	66.7477	+
825550	1020.84	+
827442	215.718	+
833279	126.992	+
833285	62.6831	+
833942	49.6543	+
840321	31.748	+
841804	61.0499	+
842257	1187.72	+
844332	186.416	+
846628	148.157	+
850894	68.3735	+
851462	26.8631	+
864787	42.3307	+
867799	47.2155	+
870427	61.0499	+
870494	27.676	+
870514	56.165	+
876476	912.563	+
884569	35.8126	+
891110	131.057	+
892267	82.2152	+
892278	34.1867	+
896124	111.524	+
899599	451.803	+
900973	109.078	+
901970	29.3019	+
902130	62.6831	+
920425	147.344	+
920433	40.6974	+
920662	363.875	+
921166	30.1148	+
933005	69.1938	+
938932	2108.42	+
946673	47.2155	+
947795	209.215	+
956765	140.834	+
956772	34.1867	+
964868	1387.98	+
966931	61.8628	+
970233	1878.87	+
971360	47.2155	+
972655	1691.63	+
973984	50.4672	+
975021	38.2587	+
975856	34.9997	+
981885	61.0499	+
993947	32.5609	+
996223	2711.67	+
1001397	30.1148	+
1006755	73.2584	+
1006767	299.574	+
1008004	46.3952	+
1014509	147.344	+
1018696	122.107	+
1023588	41.5104	+
1026293	382.601	+
1026316	207.581	+
1026914	93.6182	+
1034456	31.748	+
1034484	61.0499	+
1037349	75.7045	+
1038054	26.8631	+
1040719	80.5894	+
1042126	3751.22	+
1046087	110.712	+
1050202	47.2155	+
1051249	159315	+
1056198	35.8126	+
1057167	246.653	+
1058178	135.949	+
1061601	3543.64	+
1066488	34.1867	+
1066892	459.133	+
1067818	2738.53	+
1069639	669.967	+
1069665	32.5609	+
1077198	199.445	+
1077213	153.855	+
1077957	42.3307	+
1079915	75.7045	+
1081313	446.105	+
1081955	246.66	+
1094371	48.0285	+
1095218	249.905	+
1095241	1493.8	+
1095291	306.89	+
1098140	25.2299	+
1100752	40.6974	+
1104835	720.449	+
1112769	673.219	+
1112784	98.4883	+
1112804	218.164	+
1112819	30.1148	+
1112836	578.794	+
1113600	31.748	+
1119649	486.81	+
1121429	167.697	+
1121885	3833.46	+
1121908	22682.5	+
1125701	34.9997	+
1128325	1385.54	+
1140018	557.63	+
1140031	97.6827	+
1141857	2834.58	+
1142906	30.9277	+
1145417	2654.68	+
1148214	753.01	+
1151287	88.7333	+
1151533	67.5606	+
1159633	1048.51	+
1162960	36.6329	+
1166241	70.0067	+
1171122	149.783	+
1174259	33.3738	+
1176006	643.09	+
1176014	87.913	+
1176026	777.42	+
1176075	29.3019	+
1176084	114.776	+
1176102	35.8126	+
1177827	37.4458	+
1177834	83.8484	+
1177840	26.0502	+
1184863	428.199	+
1186885	933.736	+
1186892	74.0712	+
1187316	8010.42	+
1188979	43.1436	+
1189586	25.2299	+
1190539	97.6827	+
1193229	68.3809	+
1197844	95.244	+
1205525	34.9997	+
1208086	233.632	+
1211041	178.279	+
1211113	272.704	+
1212076	482.73	+
1213649	492.5	+
1215494	37.4458	+
1223213	325.624	+
1223686	154.668	+
1224487	319.105	+
1226120	753.823	+
1227687	166.884	+
1229896	28.489	+
1231559	34842.3	+
1232972	394.005	+
1233463	106.64	+
1234559	35.8126	+
1236579	93.6108	+
1236707	27.676	+
1240918	42.3307	+
1241362	40.6974	+
1245084	2800.38	+
1245156	12838.6	+
1245181	106.64	+
1246920	87.1001	+
1247207	82.2152	+
